Year,Country,GDP (in USD),Population,GDP Growth Rate (%),Fertility Rate,"Infant Mortality Rate (per 1,000 live births)","Maternal Mortality Rate (per 100,000 live births)",Agricultural Output (in USD),Active Military Personnel,Reserve Military Personnel,Literacy Rate (%),IT Output (in USD),Number of Tanks,Number of Submarines,Number of Armoured Vehicles,Cluster
2000,1,-0.994505452921406,6049000,5.18,2.89,5.0,7.2,5710000000.0,168000,445000,97.1,6.78,2760,3.0,10760,0
2001,1,-0.994505452921406,6165000,-0.47,2.89,4.8,6.7,5170000000.0,166500,445000,97.5,6.89,2791,3.0,10814,2
2002,1,-0.994505452921406,6263000,-0.35,2.98,4.6,5.9,4760000000.0,163000,375000,97.9,7.02,2821,3.0,10885,2
2003,1,-0.994505452921406,6684000,2.8,2.81,4.3,6.1,5100000000.0,160000,445000,97.9,7.15,2819,3.0,10885,2
2004,1,-0.994505452921406,6830000,4.5,2.84,4.1,6.8,5330000000.0,159000,428000,97.9,7.36,2798,3.0,10886,2
2005,1,-0.994505452921406,6925000,4.97,2.87,3.9,6.4,5380000000.0,156000,411000,98.4,7.69,2771,3.0,10876,2
2006,1,-0.994505452921406,7112000,4.6,2.87,3.8,6.1,5480000000.0,176500,438000,97.8,6.9,2760,3.0,10634,2
2007,1,-0.994505452921406,7295000,4.9,2.9,3.7,5.9,5600000000.0,179900,436000,97.8,7.2,2760,3.0,10634,0
2008,1,-0.994505452921406,7413000,1.2,2.93,3.7,5.6,5840000000.0,177400,435000,97.8,7.4,2760,3.0,10634,0
2009,1,-0.994505452921406,7602000,0.8,2.93,4.0,5.5,5800000000.0,169700,434000,97.8,7.5,2760,3.0,10634,0
2010,1,0.1570271767770641,7746000,4.6,2.96,3.7,5.5,5850000000.0,170300,431000,97.8,7.8,2760,3.0,10634,0
2011,1,0.1570271767770641,7907000,4.6,2.96,3.5,4.9,5900000000.0,170750,429500,97.8,8.2,2760,3.0,10634,0
2012,1,0.1570271767770641,8081000,3.3,2.99,3.3,4.7,5970000000.0,171450,428000,97.8,8.6,2760,5.0,10634,0
2013,1,0.1570271767770641,8192000,3.3,3.01,3.2,4.6,6020000000.0,174550,424750,97.8,9.0,2760,5.0,10634,0
2014,1,0.1570271767770641,8299000,3.6,3.02,3.1,4.3,6070000000.0,177350,421500,97.8,9.3,2760,5.0,10634,0
2015,1,1.308559806475534,8431000,2.6,3.03,3.0,4.1,6090000000.0,176500,418500,97.8,9.6,2760,5.0,10634,0
2016,1,1.308559806475534,8548000,4.0,3.06,2.9,3.8,6100000000.0,176500,415000,97.8,10.0,2760,5.0,10634,0
2017,1,1.308559806475534,8712000,3.4,3.06,2.8,3.7,6160000000.0,174500,410000,97.8,10.7,2760,5.0,10634,0
2018,1,1.308559806475534,8972000,3.5,3.06,2.7,3.6,6200000000.0,170000,405000,97.8,11.2,2760,5.0,10634,0
2019,1,1.308559806475534,9136000,3.4,3.06,2.6,3.5,6220000000.0,169500,399000,97.8,11.7,2760,5.0,10634,0
2020,1,1.308559806475534,9227000,-2.4,3.05,2.7,2.9,6210000000.0,169500,395000,97.8,42.45,2760,5.0,10634,0
2021,1,1.308559806475534,9390000,1.63,3.02,2.6,3.3,2860000000.0,170000,465000,97.8,46.21,2760,5.0,10634,1
